,index,ACC#,Trade Date,Settle Date,Entry Type,Symbol,Qty,Price,Gross Amount,Net Amount,Comm,Comm Deduct
0,90,88SN6002,10/17/2024,10/18/2024,S,SPHL,-110,5.0,550.0,546.96,-3.0,10
1,266,88SN6002,10/17/2024,10/18/2024,SXL,SPHL,110,5.0,-550.0,-546.96,-3.0,10
2,91,88SN6113,10/17/2024,10/18/2024,S,SPHL,-290,5.0,1450.0,1446.9,-3.0,10
3,267,88SN6113,10/17/2024,10/18/2024,SXL,SPHL,290,5.0,-1450.0,-1446.9,-3.0,10
4,92,88SN6028,10/17/2024,10/18/2024,S,SPHL,-10000,5.0,50000.0,49992.16,-5.0,10
5,268,88SN6028,10/17/2024,10/18/2024,SXL,SPHL,10000,5.0,-50000.0,-49992.16,-5.0,10
6,93,88SN6172,10/17/2024,10/18/2024,S,SPHL,-1000,5.0,5000.0,4989.71,-10.0,10
7,269,88SN6172,10/17/2024,10/18/2024,SXL,SPHL,1000,5.0,-5000.0,-4989.71,-10.0,10
8,95,88SN6113,10/17/2024,10/18/2024,S,SPHL,-290,5.0,1450.0,1391.9,-58.0,10
9,270,88SN6113,10/17/2024,10/18/2024,SXL,SPHL,290,5.0,-1450.0,-1391.9,-58.0,10
10,97,88SN6168,10/17/2024,10/18/2024,S,SPHL,-6900,5.0,34500.0,34429.03,-69.0,10
11,271,88SN6168,10/17/2024,10/18/2024,SXL,SPHL,6900,5.0,-34500.0,-34429.03,-69.0,10
12,104,88SN6027,10/18/2024,10/21/2024,S,SPHL,-2000,4.244,8488.0,8436.45,-51.0,10
13,272,88SN6027,10/18/2024,10/21/2024,SXL,SPHL,2000,4.244,-8488.0,-8436.45,-51.0,10
14,105,88SN6039,10/18/2024,10/21/2024,S,SPHL,-6000,4.1152,24691.0,24629.35,-60.0,10
15,273,88SN6039,10/18/2024,10/21/2024,SXL,SPHL,6000,4.1152,-24691.0,-24629.35,-60.0,10
16,128,88SN6163,10/22/2024,10/23/2024,S,SPHL,-14200,4.3,61060.0,60914.19,-142.0,10
17,274,88SN6163,10/22/2024,10/23/2024,SXL,SPHL,14200,4.3,-61060.0,-60914.19,-142.0,10
18,130,88SN6003,10/23/2024,10/24/2024,S,SPHL,-10,4.3,43.0,37.98,-5.0,10
19,275,88SN6003,10/23/2024,10/24/2024,SXL,SPHL,10,4.3,-43.0,-32.98,-10.0,10
20,143,88SN6017,10/23/2024,10/24/2024,S,SPHL,-210,4.3,903.0,890.32,-12.6,10
21,276,88SN6017,10/23/2024,10/24/2024,SXL,SPHL,210,4.3,-903.0,-867.92,-35.0,10
22,131,88SN6029,10/23/2024,10/24/2024,S,SPHL,-30,4.3,129.0,123.98,-5.0,10
23,277,88SN6029,10/23/2024,10/24/2024,SXL,SPHL,30,4.3,-129.0,-93.98,-35.0,10
24,137,88SN6056,10/23/2024,10/24/2024,S,SPHL,-100,4.3,430.0,423.96,-6.0,10
25,278,88SN6056,10/23/2024,10/24/2024,SXL,SPHL,100,4.3,-430.0,-394.96,-35.0,10
26,132,88SN6076,10/23/2024,10/24/2024,S,SPHL,-20,4.3,86.0,80.98,-5.0,10
27,279,88SN6076,10/23/2024,10/24/2024,SXL,SPHL,20,4.3,-86.0,-50.98,-35.0,10
28,142,88SN6081,10/23/2024,10/24/2024,S,SPHL,-200,4.3,860.0,847.94,-12.0,10
29,280,88SN6081,10/23/2024,10/24/2024,SXL,SPHL,200,4.3,-860.0,-824.94,-35.0,10
30,152,88SN6082,10/23/2024,10/24/2024,S,SPHL,-800,4.3,3440.0,3404.74,-35.0,10
31,281,88SN6082,10/23/2024,10/24/2024,SXL,SPHL,800,4.3,-3440.0,-3404.74,-35.0,10
32,139,88SN6091,10/23/2024,10/24/2024,S,SPHL,-150,4.3,645.0,635.94,-9.0,10
33,282,88SN6091,10/23/2024,10/24/2024,SXL,SPHL,150,4.3,-645.0,-609.94,-35.0,10
34,144,88SN6092,10/23/2024,10/24/2024,S,SPHL,-240,4.3,1032.0,1017.52,-14.4,10
35,283,88SN6092,10/23/2024,10/24/2024,SXL,SPHL,240,4.3,-1032.0,-996.92,-35.0,10
36,146,88SN6095,10/23/2024,10/24/2024,S,SPHL,-400,4.3,1720.0,1695.86,-24.0,10
37,284,88SN6095,10/23/2024,10/24/2024,SXL,SPHL,400,4.3,-1720.0,-1684.86,-35.0,10
38,133,88SN6096,10/23/2024,10/24/2024,S,SPHL,-30,4.3,129.0,123.98,-5.0,10
39,285,88SN6096,10/23/2024,10/24/2024,SXL,SPHL,30,4.3,-129.0,-93.98,-35.0,10
40,145,88SN6118,10/23/2024,10/24/2024,S,SPHL,-300,4.3,1290.0,1271.9,-18.0,10
41,286,88SN6118,10/23/2024,10/24/2024,SXL,SPHL,300,4.3,-1290.0,-1254.9,-35.0,10
42,158,88SN6120,10/23/2024,10/24/2024,S,SPHL,-2100,4.3,9030.0,8994.42,-35.0,10
43,287,88SN6120,10/23/2024,10/24/2024,SXL,SPHL,2100,4.3,-9030.0,-8994.42,-35.0,10
44,159,88SN6158,10/23/2024,10/24/2024,S,SPHL,-800,4.3,3440.0,3404.74,-35.0,10
45,288,88SN6158,10/23/2024,10/24/2024,SXL,SPHL,800,4.3,-3440.0,-3404.74,-35.0,10
46,141,88SN6166,10/23/2024,10/24/2024,S,SPHL,-199,4.3,855.7,843.68,-11.94,10
47,289,88SN6166,10/23/2024,10/24/2024,SXL,SPHL,199,4.3,-855.7,-820.62,-35.0,10
48,136,88SN6200,10/23/2024,10/24/2024,S,SPHL,-90,4.3,387.0,381.56,-5.4,10
49,290,88SN6200,10/23/2024,10/24/2024,SXL,SPHL,90,4.3,-387.0,-351.96,-35.0,10
50,134,88SN6206,10/23/2024,10/24/2024,S,SPHL,-50,4.3,215.0,209.98,-5.0,10
51,291,88SN6206,10/23/2024,10/24/2024,SXL,SPHL,50,4.3,-215.0,-179.98,-35.0,10
52,138,88SN6238,10/23/2024,10/24/2024,S,SPHL,-100,4.3,430.0,423.96,-6.0,10
53,292,88SN6238,10/23/2024,10/24/2024,SXL,SPHL,100,4.3,-430.0,-394.96,-35.0,10
54,135,88SN6777,10/23/2024,10/24/2024,S,SPHL,-30,4.3,129.0,123.98,-5.0,10
55,293,88SN6777,10/23/2024,10/24/2024,SXL,SPHL,30,4.3,-129.0,-93.98,-35.0,10
56,165,88SN7006,10/23/2024,10/24/2024,S,SPHL,-2700,4.3,11610.0,11574.26,-35.0,10
57,294,88SN7006,10/23/2024,10/24/2024,SXL,SPHL,2700,4.3,-11610.0,-11574.26,-35.0,10
58,168,88SN6039,10/23/2024,10/24/2024,S,SPHL,-5300,4.3,22790.0,22735.56,-53.0,10
59,295,88SN6039,10/23/2024,10/24/2024,SXL,SPHL,5300,4.3,-22790.0,-22735.56,-53.0,10
60,169,88SN6157,10/23/2024,10/24/2024,S,SPHL,-12500,4.3,53750.0,53621.64,-125.0,10
61,296,88SN6157,10/23/2024,10/24/2024,SXL,SPHL,12500,4.3,-53750.0,-53621.64,-125.0,10
62,173,88SN6006,10/23/2024,10/24/2024,S,SPHL,-10042,4.3,43180.6,42977.07,-200.84,10
63,297,88SN6006,10/23/2024,10/24/2024,SXL,SPHL,10042,4.3,-43180.6,-42977.07,-200.84,10
64,181,88SN6002,8/23/2024,8/26/2024,S,RITR,-100,4.71,471.0,467.96,-3.0,10
65,298,88SN6002,8/23/2024,8/26/2024,SXL,RITR,100,4.71,-471.0,-467.96,-3.0,10
66,182,88SN6017,8/23/2024,8/26/2024,S,RITR,-120,4.71,565.2,562.16,-3.0,10
67,299,88SN6017,8/23/2024,8/26/2024,SXL,RITR,120,4.71,-565.2,-562.16,-3.0,10
68,183,88SN6029,8/23/2024,8/26/2024,S,RITR,-100,4.56,456.0,452.96,-3.0,10
69,300,88SN6029,8/23/2024,8/26/2024,SXL,RITR,100,4.56,-456.0,-452.96,-3.0,10
70,184,88SN6056,8/23/2024,8/26/2024,S,RITR,-110,4.3,473.0,469.96,-3.0,10
71,301,88SN6056,8/23/2024,8/26/2024,SXL,RITR,110,4.3,-473.0,-469.96,-3.0,10
72,185,88SN6070,8/23/2024,8/26/2024,S,RITR,-270,4.71,1271.7,1268.62,-3.0,10
73,302,88SN6070,8/23/2024,8/26/2024,SXL,RITR,270,4.71,-1271.7,-1268.62,-3.0,10
74,186,88SN6081,8/23/2024,8/26/2024,S,RITR,-100,4.3506,435.06,432.02,-3.0,10
75,303,88SN6081,8/23/2024,8/26/2024,SXL,RITR,100,4.3506,-435.06,-432.02,-3.0,10
76,187,88SN6082,8/23/2024,8/26/2024,S,RITR,-100,4.71,471.0,467.96,-3.0,10
77,304,88SN6082,8/23/2024,8/26/2024,SXL,RITR,100,4.71,-471.0,-467.96,-3.0,10
78,188,88SN6091,8/23/2024,8/26/2024,S,RITR,-280,4.71,1318.8,1315.72,-3.0,10
79,305,88SN6091,8/23/2024,8/26/2024,SXL,RITR,280,4.71,-1318.8,-1315.72,-3.0,10
80,189,88SN6092,8/23/2024,8/26/2024,S,RITR,-140,4.71,659.4,656.36,-3.0,10
81,306,88SN6092,8/23/2024,8/26/2024,SXL,RITR,140,4.71,-659.4,-656.36,-3.0,10
82,190,88SN6096,8/23/2024,8/26/2024,S,RITR,-200,4.71,942.0,938.94,-3.0,10
83,307,88SN6096,8/23/2024,8/26/2024,SXL,RITR,200,4.71,-942.0,-938.94,-3.0,10
84,192,88SN6120,8/23/2024,8/26/2024,S,RITR,-116,4.65,539.4,536.36,-3.0,10
85,308,88SN6120,8/23/2024,8/26/2024,SXL,RITR,116,4.65,-539.4,-536.36,-3.0,10
86,191,88SN6120,8/23/2024,8/26/2024,S,RITR,-294,4.44,1305.36,1302.24,-3.0,10
87,309,88SN6120,8/23/2024,8/26/2024,SXL,RITR,294,4.44,-1305.36,-1302.24,-3.0,10
88,193,88SN6158,8/23/2024,8/26/2024,S,RITR,-65,4.65,302.25,299.23,-3.0,10
89,310,88SN6158,8/23/2024,8/26/2024,SXL,RITR,65,4.65,-302.25,-299.23,-3.0,10
90,194,88SN6172,8/23/2024,8/26/2024,S,RITR,-213,4.44,945.72,942.63,-3.0,10
91,311,88SN6172,8/23/2024,8/26/2024,SXL,RITR,213,4.44,-945.72,-942.63,-3.0,10
92,196,88SN6238,8/23/2024,8/26/2024,S,RITR,-70,4.65,325.5,322.48,-3.0,10
93,312,88SN6238,8/23/2024,8/26/2024,SXL,RITR,70,4.65,-325.5,-322.48,-3.0,10
94,195,88SN6238,8/23/2024,8/26/2024,S,RITR,-194,4.42,857.48,854.42,-3.0,10
95,313,88SN6238,8/23/2024,8/26/2024,SXL,RITR,194,4.42,-857.48,-854.42,-3.0,10
96,198,88SN6777,8/23/2024,8/26/2024,S,RITR,-71,4.4,312.4,309.38,-3.0,10
97,314,88SN6777,8/23/2024,8/26/2024,SXL,RITR,71,4.4,-312.4,-309.38,-3.0,10
98,197,88SN6777,8/23/2024,8/26/2024,S,RITR,-29,4.42,128.18,125.16,-3.0,10
99,315,88SN6777,8/23/2024,8/26/2024,SXL,RITR,29,4.42,-128.18,-125.16,-3.0,10
100,199,88SN6028,8/23/2024,8/26/2024,S,RITR,-4000,4.4,17600.0,17593.87,-5.0,10
101,316,88SN6028,8/23/2024,8/26/2024,SXL,RITR,4000,4.4,-17600.0,-17593.87,-5.0,10
102,200,88SN6238,8/23/2024,8/26/2024,S,RITR,-516,4.35,2244.6,2239.29,-5.16,10
103,317,88SN6238,8/23/2024,8/26/2024,SXL,RITR,516,4.35,-2244.6,-2239.29,-5.16,10
104,201,88SN6158,8/23/2024,8/26/2024,S,RITR,-575,4.71,2708.25,2702.33,-5.75,10
105,318,88SN6158,8/23/2024,8/26/2024,SXL,RITR,575,4.71,-2708.25,-2702.33,-5.75,10
106,202,88SN6168,8/23/2024,8/26/2024,S,RITR,-592,4.44,2628.48,2622.36,-5.92,10
107,319,88SN6168,8/23/2024,8/26/2024,SXL,RITR,592,4.44,-2628.48,-2622.36,-5.92,10
108,205,88SN6095,8/23/2024,8/26/2024,S,RITR,-710,4.71,3344.1,3336.79,-7.1,10
109,320,88SN6095,8/23/2024,8/26/2024,SXL,RITR,710,4.71,-3344.1,-3336.79,-7.1,10
110,206,88SN7006,8/23/2024,8/26/2024,S,RITR,-780,4.71,3673.8,3665.77,-7.8,10
111,321,88SN7006,8/23/2024,8/26/2024,SXL,RITR,780,4.71,-3673.8,-3665.77,-7.8,10
112,208,88SN6172,8/23/2024,8/26/2024,S,RITR,-887,4.2713,3788.68,3779.56,-8.87,10
113,322,88SN6172,8/23/2024,8/26/2024,SXL,RITR,887,4.2713,-3788.68,-3779.56,-8.87,10
114,209,88SN6163,8/23/2024,8/26/2024,S,RITR,-982,4.6513,4567.6,4557.48,-9.82,10
115,323,88SN6163,8/23/2024,8/26/2024,SXL,RITR,982,4.6513,-4567.6,-4557.48,-9.82,10
116,210,88SN6003,8/23/2024,8/26/2024,S,RITR,-120,4.71,565.2,555.16,-10.0,10
117,324,88SN6003,8/23/2024,8/26/2024,SXL,RITR,120,4.71,-565.2,-555.16,-10.0,10
118,212,88SN6120,8/23/2024,8/26/2024,S,RITR,-1150,4.5601,5244.1,5232.25,-11.5,10
119,325,88SN6120,8/23/2024,8/26/2024,SXL,RITR,1150,4.5601,-5244.1,-5232.25,-11.5,10
120,215,88SN6206,8/23/2024,8/26/2024,S,RITR,-1600,4.32,6912.0,6895.56,-16.0,10
121,326,88SN6206,8/23/2024,8/26/2024,SXL,RITR,1600,4.32,-6912.0,-6895.56,-16.0,10
122,219,88SN6118,8/23/2024,8/26/2024,S,RITR,-2000,4.4,8800.0,8779.46,-20.0,10
123,327,88SN6118,8/23/2024,8/26/2024,SXL,RITR,2000,4.4,-8800.0,-8779.46,-20.0,10
124,220,88SN6168,8/23/2024,8/26/2024,S,RITR,-2608,4.4001,11475.35,11448.51,-26.08,10
125,328,88SN6168,8/23/2024,8/26/2024,SXL,RITR,2608,4.4001,-11475.35,-11448.51,-26.08,10
126,222,88SN6166,8/23/2024,8/26/2024,S,RITR,-3200,4.71,15072.0,15039.11,-32.0,10
127,329,88SN6166,8/23/2024,8/26/2024,SXL,RITR,3200,4.71,-15072.0,-15039.11,-32.0,10
128,227,88SN6006,8/23/2024,8/26/2024,S,RITR,-8010,4.71,37727.1,37644.78,-80.1,10
129,330,88SN6006,8/23/2024,8/26/2024,SXL,RITR,8010,4.71,-37727.1,-37644.78,-80.1,10
130,228,88SN6163,8/23/2024,8/26/2024,S,RITR,-8098,4.611,37340.23,37256.94,-80.98,10
131,331,88SN6163,8/23/2024,8/26/2024,SXL,RITR,8098,4.611,-37340.23,-37256.94,-80.98,10
